rank,title,desc,runtime,genre,rating,votes,director,metascore
15,Sing,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",108,Animation,7.1,184953,Garth Jennings,59.0
16,Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",108,Animation,8.0,530878,Byron Howard,78.0
17,The Magnificent Seven,Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.,132,Action,6.9,223991,Antoine Fuqua,54.0
18,Passengers,A malfunction in a sleeping pod on a spacecraft traveling to a distant colony planet wakes one passenger 90 years early.,116,Drama,7.0,433173,Morten Tyldum,41.0
19,The Conjuring 2,Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,134,Horror,7.3,293172,James Wan,65.0
20,Kimi no na wa.,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",106,Animation,8.4,303274,Makoto Shinkai,81.0
21,Rogue One,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",133,Action,7.8,672169,Gareth Edwards,65.0
22,My Big Fat Greek Wedding 2,A Portokalos family secret brings the beloved characters back together for an even bigger and Greeker wedding.,94,Comedy,6.0,34548,Kirk Jones,37.0
23,Nocturnal Animals,"A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",116,Drama,7.5,296723,Tom Ford,67.0
24,Silence,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",161,Drama,7.2,119851,Martin Scorsese,79.0
25,Busanhaeng,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",118,Action,7.6,245867,Sang-ho Yeon,73.0
26,Hidden Figures,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,127,Biography,7.8,247800,Theodore Melfi,74.0
27,Ghostbusters,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",117,Action,6.8,241021,Paul Feig,60.0
28,Batman v Superman: Dawn of Justice,Batman is manipulated by Lex Luthor to fear Superman. Superman´s existence is meanwhile dividing the world and he is framed for murder during an international crisis. The heroes clash and force the neutral Wonder Woman to reemerge.,151,Action,6.5,742452,Zack Snyder,44.0
29,Manchester by the Sea,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,137,Drama,7.8,302674,Kenneth Lonergan,96.0
30,Hush,A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.,82,Horror,6.6,149798,Mike Flanagan,67.0
31,Gokseong,"Soon after a stranger arrives in a little village, a mysterious sickness starts spreading. A policeman, drawn into the incident, is forced to solve the mystery in order to save his daughter.",156,Drama,7.4,77811,Na Hong-jin,81.0
32,X-Men: Apocalypse,"In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.",144,Action,6.9,453403,Bryan Singer,52.0
33,Shin Gojira,Japan is plunged into chaos upon the appearance of a giant monster.,120,Action,6.8,31379,Hideaki Anno,67.0
34,Gods of Egypt,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",127,Action,5.4,123355,Alex Proyas,25.0
